File1_Data,File2_Data
"{'id': '9', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'atlanta', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '1108', 'http://www.okkam.org/ontology_restaurant2.owl#name': ""nicky blair's"", 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '702-792-9900', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
"{'id': '10', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'cafe claude', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '415/392-3505', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '1239', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '34 e. 61st st.'}"
"{'id': '11', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'los angeles', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}",
"{'id': '12', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '2880 las vegas blvd. s'}","{'id': '1310', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'four seasons', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '212-754-9494', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
,"{'id': '692', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '60 n. venice blvd.'}"
"{'id': '14', 'http://www.okkam.org/ontology_restaurant1.owl#name': ""chin's"", 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '702/733-8899', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}",
"{'id': '15', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '160 central park s'}","{'id': '885', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '411 park ave. s  between 28th and 29th sts.'}"
,"{'id': '1222', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '1000 madison ave.  between 77th and 78th sts.'}"
"{'id': '17', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'island spice', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '212/765-1737', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '783', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '3595 las vegas blvd. s.'}"
"{'id': '18', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '8284 melrose ave.'}","{'id': '78', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '21 e. 16th st.'}"
"{'id': '19', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'san francisco', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '1540', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'poquito mas', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '818-563-2252', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
,"{'id': '105', 'http://www.okkam.org/ontology_restaurant2.owl#name': ""nickiemoto's: a sushi bar"", 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '404/842-0334', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
"{'id': '21', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '1397 n. highland ave.'}","{'id': '292', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'ritz-carlton dining room (buckhead)', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '404-237-2700', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
,"{'id': '307', 'http://www.okkam.org/ontology_restaurant2.owl#name': ""carmine's"", 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '212-362-2200', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
"{'id': '23', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'ciboulette', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '404/874-7600', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}",
"{'id': '24', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '6703 melrose ave.'}","{'id': '978', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'mexican/tex-mex', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
"{'id': '25', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '95 ave. a at 6th st.'}","{'id': '824', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '9560 dayton way'}"
,"{'id': '584', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '9600 brighton way'}"
"{'id': '27', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'rose pistola', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '415/399-0499', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '1110', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'sa tsu ki', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '404/325-5285', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
,"{'id': '1033', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'hyde street bistro', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '415/441-7778', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
"{'id': '29', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'montrachet', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '212/ 219-2777', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '1313', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '243 e. 58th st.'}"
"{'id': '30', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '13 w. 54th st.'}","{'id': '1151', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'nuova cucina italian', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
,"{'id': '1239', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '34 e. 61st st.'}"
"{'id': '32', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'rex il ristorante', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '213/627-2300', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}",
"{'id': '33', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'delectables', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '404/681-2909', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '758', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '11677 san vicente blvd.'}"
"{'id': '34', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'hotel bel-air', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '310/472-1211', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}",
"{'id': '35', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '1 mission st.'}","{'id': '416', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '598 fourth st.'}"
,"{'id': '1345', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '155 steuart st.'}"
"{'id': '37', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'oceana', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '212/759-5941', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '80', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'eclectic', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
"{'id': '38', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '152 w. 44th st.'}",
"{'id': '39', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '1737 post st.'}",
"{'id': '40', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'spago', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '310/652-4025', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '917', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '155 w. 58th st.'}"
"{'id': '41', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '42 e. 20th st.  between park ave. s and broadway'}",
"{'id': '42', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'las vegas', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '126', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'ebisu', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '415-566-1770', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
"{'id': '43', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'toulouse', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '404/351-9533', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '26', 'http://www.okkam.org/ontology_restaurant2.owl#name': ""harris'"", 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '415/673-1888', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
"{'id': '44', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'studio city', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}",
,
"{'id': '46', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'smith & wollensky', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '212/753-1530', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '204', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '1283 ninth ave.'}"
"{'id': '47', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '3073 piedmont road'}",
,"{'id': '211', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'local nochol', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '818-706-7706', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
"{'id': '49', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'dawat', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '212/355-7555', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '1190', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'center stage plaza hotel', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '702/386-2512', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
"{'id': '50', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '57 jane st.  off hudson st.'}",
"{'id': '51', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'lulu', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '415/495-5775', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}",
,
"{'id': '53', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '12969 ventura blvd.'}","{'id': '891', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'dean & deluca', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '212/254-8776', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
,"{'id': '788', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '33 w. 55th st.'}"
,"{'id': '1314', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '128 e. fremont st.'}"
"{'id': '56', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'abruzzi', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '404/261-8186', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '130', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'johnny rockets (la)', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '213-651-3361', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
"{'id': '57', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '12224 ventura blvd.'}","{'id': '1000', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '439 n. beverly drive'}"
,
"{'id': '59', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'lutece', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '212/752-2225', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '1192', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'emerald garden restaurant', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '415-673-1155', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
,"{'id': '1201', 'http://www.okkam.org/ontology_restaurant2.owl#name': ""sally's cafe & bakery"", 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '415-626-6006', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
"{'id': '61', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'matsuhisa', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '310/659-9639', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '459', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '2911 s. pharr court'}"
"{'id': '62', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '181 peachtree st.'}","{'id': '1466', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'penang soho', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '212/274-8883', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
,"{'id': '1232', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'tribeca grill', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '212/941-3900', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
"{'id': '64', 'http://www.okkam.org/ontology_restaurant1.owl#name': ""mary mac's tea room"", 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '404/876-1800', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '679', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'post house', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '212/935-2888', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
"{'id': '65', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'granita', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '310/456-0488', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '1511', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '3131 webster st.'}"
"{'id': '66', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '22 hawthorne st.'}","{'id': '893', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'the heights', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '415/474-8890', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
"{'id': '67', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '1110 3rd ave. at 65th st.'}",
,
"{'id': '69', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'river cafe', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '718/522-5200', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '790', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'dive!', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '310/788-', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
"{'id': '70', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '20 e. 76th st.'}","{'id': '716', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '103 waverly pl.  near washington sq.'}"
"{'id': '71', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'cafe lalo', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '212/496-6031', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '1538', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '7261 melrose ave.'}"
"{'id': '71', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'cafe lalo', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '212/496-6031', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '740', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'san francisco bbq', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '415-431-8956', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
"{'id': '71', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'cafe lalo', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '212/496-6031', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '551', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '39 w. 55th st.'}"
"{'id': '71', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'cafe lalo', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '212/496-6031', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}",
"{'id': '71', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'cafe lalo', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '212/496-6031', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}",
,
"{'id': '73', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'campton place', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '415/955-5555', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '934', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'le colonial', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '310/289-0660', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
"{'id': '74', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'hollywood', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '1203', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '152 w. 52nd st.'}"
"{'id': '75', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '2245 e. flamingo rd.'}","{'id': '830', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '834 7th ave.  between 53rd and 54th sts.'}"
"{'id': '77', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'coyote cafe', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '702/891-7349', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}",
"{'id': '78', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '2 e. 55th st.'}","{'id': '1319', 'http://www.okkam.org/ontology_restaurant2.owl#name': ""canter's"", 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '213/651-2030.', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
,"{'id': '1244', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '4th st.'}"
"{'id': '80', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'fleur de lys', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '415/673-7779', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}",
